sample-id	forward-absolute-filepath	reverse-absolute-filepath
2P1_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_19_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_19_R2.fastq
2C5_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_02_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_02_R2.fastq
2N6_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_20_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_20_R2.fastq
2N5_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_21_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_21_R2.fastq
2N4_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_22_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_22_R2.fastq
2N3_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_23_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_23_R2.fastq
2N2_37D	/mnt/run1/seqs/raw1/Fwd_12-Rev_24_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_24_R2.fastq
2C6_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_03_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_03_R2.fastq
2C4_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_30_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_30_R2.fastq
2P2_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_31_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_31_R2.fastq
2N1_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_04_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_04_R2.fastq
2N2_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_05_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_05_R2.fastq
2N3_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_06_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_06_R2.fastq
2N4_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_07_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_07_R2.fastq
2N5_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_08_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_08_R2.fastq
2N6_3D	/mnt/run1/seqs/raw1/Fwd_12-Rev_09_R1.fastq	/mnt/run1/seqs/raw1/Fwd_12-Rev_09_R2.fastq
3N1_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_10_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_10_R2.fastq
3N3_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_12_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_12_R2.fastq
3P1_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_13_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_13_R2.fastq
3N6_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_14_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_14_R2.fastq
3N5_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_15_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_15_R2.fastq
3N4_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_16_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_16_R2.fastq
3N3_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_17_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_17_R2.fastq
3N2_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_18_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_18_R2.fastq
3N1_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_19_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_19_R2.fastq
2P5_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_02_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_02_R2.fastq
3C6_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_20_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_20_R2.fastq
3C5_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_21_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_21_R2.fastq
3C4_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_22_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_22_R2.fastq
3C3_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_23_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_23_R2.fastq
3C2_37D	/mnt/run1/seqs/raw1/Fwd_13-Rev_24_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_24_R2.fastq
2P6_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_03_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_03_R2.fastq
2P4_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_30_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_30_R2.fastq
3N2_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_31_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_31_R2.fastq
3C1_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_04_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_04_R2.fastq
3C2_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_05_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_05_R2.fastq
3C3_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_06_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_06_R2.fastq
3C4_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_07_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_07_R2.fastq
3C5_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_08_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_08_R2.fastq
3C6_3D	/mnt/run1/seqs/raw1/Fwd_13-Rev_09_R1.fastq	/mnt/run1/seqs/raw1/Fwd_13-Rev_09_R2.fastq
4C1_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_10_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_10_R2.fastq
4C3_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_12_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_12_R2.fastq
4N1_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_13_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_13_R2.fastq
4C6_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_14_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_14_R2.fastq
4C5_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_15_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_15_R2.fastq
4C4_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_16_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_16_R2.fastq
4C3_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_17_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_17_R2.fastq
4C2_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_18_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_18_R2.fastq
4C1_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_19_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_19_R2.fastq
3N5_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_02_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_02_R2.fastq
3P6_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_20_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_20_R2.fastq
3P5_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_21_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_21_R2.fastq
3P4_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_22_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_22_R2.fastq
3P3_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_23_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_23_R2.fastq
3P2_37D	/mnt/run1/seqs/raw1/Fwd_14-Rev_24_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_24_R2.fastq
3N6_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_03_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_03_R2.fastq
3N4_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_30_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_30_R2.fastq
4C2_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_31_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_31_R2.fastq
3P1_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_04_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_04_R2.fastq
3P2_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_05_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_05_R2.fastq
3P3_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_06_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_06_R2.fastq
3P4_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_07_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_07_R2.fastq
3P5_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_08_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_08_R2.fastq
3P6_3D	/mnt/run1/seqs/raw1/Fwd_14-Rev_09_R1.fastq	/mnt/run1/seqs/raw1/Fwd_14-Rev_09_R2.fastq
4P2_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_10_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_10_R2.fastq
4P4_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_12_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_12_R2.fastq
2C1_40D	/mnt/run1/seqs/raw1/Fwd_15-Rev_13_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_13_R2.fastq
4P6_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_14_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_14_R2.fastq
4P5_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_15_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_15_R2.fastq
4P4_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_16_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_16_R2.fastq
4P3_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_17_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_17_R2.fastq
4P2_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_18_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_18_R2.fastq
4P1_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_19_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_19_R2.fastq
4C6_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_02_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_02_R2.fastq
4N6_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_20_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_20_R2.fastq
4N5_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_21_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_21_R2.fastq
4N4_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_22_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_22_R2.fastq
4N3_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_23_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_23_R2.fastq
4N2_37D	/mnt/run1/seqs/raw1/Fwd_15-Rev_24_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_24_R2.fastq
4N1_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_03_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_03_R2.fastq
4C4_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_30_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_30_R2.fastq
4P3_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_31_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_31_R2.fastq
4N2_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_04_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_04_R2.fastq
4N3_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_05_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_05_R2.fastq
4N4_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_06_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_06_R2.fastq
4N5_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_07_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_07_R2.fastq
4N6_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_08_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_08_R2.fastq
4P1_3D	/mnt/run1/seqs/raw1/Fwd_15-Rev_09_R1.fastq	/mnt/run1/seqs/raw1/Fwd_15-Rev_09_R2.fastq
2N3_8D	/mnt/run1/seqs/raw1/Fwd_16-Rev_10_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_10_R2.fastq
OH_PCR_BlankP2	/mnt/run1/seqs/raw1/Fwd_16-Rev_12_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_12_R2.fastq
OH_PCR_BlankP8	/mnt/run1/seqs/raw1/Fwd_16-Rev_13_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_13_R2.fastq
Extr_Blank1	/mnt/run1/seqs/raw1/Fwd_16-Rev_14_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_14_R2.fastq
2N5_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_15_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_15_R2.fastq
2N4_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_16_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_16_R2.fastq
2N3_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_17_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_17_R2.fastq
2N2_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_18_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_18_R2.fastq
2N1_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_19_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_19_R2.fastq
4P6_3D	/mnt/run1/seqs/raw1/Fwd_16-Rev_02_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_02_R2.fastq
2C6_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_20_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_20_R2.fastq
2C5_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_21_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_21_R2.fastq
2C4_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_22_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_22_R2.fastq
2C3_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_23_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_23_R2.fastq
2C2_40D	/mnt/run1/seqs/raw1/Fwd_16-Rev_24_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_24_R2.fastq
2C1_8D	/mnt/run1/seqs/raw1/Fwd_16-Rev_03_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_03_R2.fastq
4P5_3D	/mnt/run1/seqs/raw1/Fwd_16-Rev_30_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_30_R2.fastq
Extr_Blank2	/mnt/run1/seqs/raw1/Fwd_16-Rev_31_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_31_R2.fastq
2C2_8D	/mnt/run1/seqs/raw1/Fwd_16-Rev_04_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_04_R2.fastq
2C3_8D	/mnt/run1/seqs/raw1/Fwd_16-Rev_05_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_05_R2.fastq
2C4_8D	/mnt/run1/seqs/raw1/Fwd_16-Rev_06_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_06_R2.fastq
2C5_8D	/mnt/run1/seqs/raw1/Fwd_16-Rev_07_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_07_R2.fastq
2N1_8D	/mnt/run1/seqs/raw1/Fwd_16-Rev_08_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_08_R2.fastq
2N2_8D	/mnt/run1/seqs/raw1/Fwd_16-Rev_09_R1.fastq	/mnt/run1/seqs/raw1/Fwd_16-Rev_09_R2.fastq
3C4_0D	/mnt/run1/seqs/raw1/Fwd_18-Rev_10_R1.fastq	/mnt/run1/seqs/raw1/Fwd_18-Rev_10_R2.fastq
3C6_0D	/mnt/run1/seqs/raw1/Fwd_18-Rev_12_R1.fastq	/mnt/run1/seqs/raw1/Fwd_18-Rev_12_R2.fastq
4P2_43D	/mnt/run1/seqs/raw1/Fwd_18-Rev_13_R1.fastq	/mnt/run1/seqs/raw1/Fwd_18-Rev_13_R2.fastq
4P1_43D	/mnt/run1/seqs/raw1/Fwd_18-Rev_14_R1.fastq	/mnt/run1/seqs/raw1/Fwd_18-Rev_14_R2.fastq
4N6_43D	/mnt/run1/seqs/raw1/Fwd_18-Rev_15_R1.fastq	/mnt/run1/seqs/raw1/Fwd_18-Rev_15_R2.fastq
4N5_43D	/mnt/run1/seqs/raw1/Fwd_18-Rev_16_R1.fastq	/mnt/run1/seqs/raw1/Fwd_18-Rev_16_R2.fastq
4N4_43D	/mnt/run1/seqs/raw1/Fwd_18-Rev_17_R1.fastq	/mnt/run1/seqs/raw1/Fwd_18-Rev_17_R2.fastq
4N3_43D	/mnt/run1/seqs/raw1/Fwd_18-Rev_18_R1.fastq	/mnt/run1/seqs/raw1/Fwd_18-Rev_18_R2.fastq
